kegg_cid,month,month_mean_int,log_int
C04257,July_1,22816027.58824549,25.443544295557277
C04257,July_2,14482723.45987247,24.78782958932571
C04257,July_3,32316536.306206938,25.94576924220095
C04257,June,26183041.25318915,25.642129345378056
C04257,May,23816888.533544086,25.505481614339235
C04257,October,39036197.04473908,26.21830917479835
C04257,September,22190863.295149915,25.40346245826313
C04336,August,50325412.66329796,26.584783761360192
C04336,July_1,22816027.58824549,25.443544295557277
C04336,July_2,14482723.45987247,24.78782958932571
C04336,July_3,32316536.306206938,25.94576924220095
C04336,June,26183041.25318915,25.642129345378056
C04336,May,23816888.533544086,25.505481614339235
C04336,October,39036197.04473908,26.21830917479835
C04336,September,22190863.295149915,25.40346245826313
C04462,August,5226670.600063101,23.317460808662148
C04462,July_1,6130577.538596764,23.547591560503104
C04462,July_2,6534099.037656413,23.63955689126467
C04462,July_3,6219379.061379702,23.56833911916784
C04462,June,6221102.923644025,23.568738944119776
C04462,May,6200753.564800485,23.56401212323298
C04462,October,6331910.715927403,23.594209482001283
C04462,September,4344529.197239804,23.050768414578194
C04547,August,33927607.03316668,26.015956342326167
C04547,July_1,47084362.713612214,26.48874466712163
C04547,July_2,34089594.66762831,26.02282810984724
C04547,July_3,39102931.240219,26.22077342333548
C04547,June,30739465.572630126,25.873588747183664
C04547,May,37545459.60492261,26.162135116517845
C04547,October,40348990.19561341,26.266029232187687
C04547,September,41103409.21498876,26.292754723655666
C04586,August,69783072.87267634,27.05637379170316
C04586,July_1,50663108.0599522,26.594432249851295
C04586,July_2,35700910.835365266,26.089457546334305
C04586,July_3,50153937.56485363,26.57985963488522
C04586,June,51431785.62524254,26.616156906720935
C04586,May,37619600.45930797,26.16498119094516
C04586,October,66179493.21403193,26.979880908107344
C04586,September,56812101.44469057,26.759694932580366
C05126,August,18864244.214240212,25.169150964719496
C05126,July_1,10622523.175020898,24.340623155375212
C05126,July_2,13535077.85834328,24.69019985065785
C05126,July_3,13528416.083626652,24.6894896016736
C05126,June,19125159.732903656,25.188968461423656
C05126,May,15543998.36969526,24.889854318932926
C05126,October,18617084.651818603,25.15012383551516
C05126,September,12010592.26801535,24.517803959390022
C05141,August,12357201.661437813,24.558848740281793
C05141,July_1,8688084.480784075,24.050606700944314
C05141,July_2,7827221.547924441,23.900068849970268
C05141,July_3,6983662.219077583,23.73555235070755
C05141,June,18136238.887310646,25.11237196345033
C05141,May,6131166.988414844,23.54773026773651
C05141,October,5428260.81773956,23.37205861053407
C05141,September,6048734.998937925,23.528202025499464
C05282,August,1103191.8515545204,21.073252275229084
C05282,July_1,530441.6299326689,20.016834479414566
C05282,July_2,533378.0002664623,20.02479879508804
C05282,July_3,368564.6591414947,19.491558215170166
C05282,June,14751292.16668552,24.814337999758404
C05282,May,13921293.811441274,24.73078996222361
C05282,October,17685604.185705155,25.07607217026374
C05282,September,615148.3694158442,20.230574894653046
C05324,August,6382963.6519191675,23.60579500164784
C05324,July_1,2021129.3344579341,21.946730213758826
C05324,July_2,2181464.4815717572,22.056865553385926
C05324,July_3,3086557.304520933,22.557567145775256
C05324,June,1728903.5523118272,21.721425959135903
C05324,May,2872351.457357739,22.453800855659654
C05324,October,1819013.308418443,21.79472466751932
C05324,September,1521112.8452568522,21.536695754111598
C05470,August,809897164.853272,30.59316349527559
C05470,July_1,25161682.29225461,25.584725047221916
C05470,July_2,14315220.269235585,24.77104653356305
C05470,July_3,298905686.25559336,29.155115101597392
C05470,June,747700619.9991922,30.477885488435938
C05470,May,87289592.37609763,27.379306314372275
C05470,October,26498188.509032723,25.65939040055289
C05470,September,21449236.565161522,25.354422963532805
C05476,August,259887748.95777458,28.953313386235507
C05476,July_1,10660491.368683336,24.345770601260323
C05476,July_2,6983145.368255916,23.73544557496614
C05476,July_3,95389077.25913954,27.50732074085898
C05476,June,254540389.29238993,28.92331935374419
C05476,May,34012899.92149257,26.01957867890184
