kegg_cid,month,month_mean_int,log_int
C11457,June,3758607.2846192173,22.841766753625038
C11457,May,3195896.655042813,22.607789326254732
C11457,October,3601018.9469230385,22.779973759677166
C11457,September,4456443.085734702,23.087461250344308
C14536,August,25489971.29191693,25.60342641273711
C14536,July_1,19744021.50016895,25.234912534829043
C14536,July_2,24587127.629093226,25.551399867331362
C14536,July_3,21284092.322159365,25.34327223071164
C14536,June,21255428.73283235,25.341328023376487
C14536,May,21370355.118752733,25.349107546182434
C14536,October,20304733.47932838,25.275312754730376
C14536,September,16717268.794288665,24.994835828688142
C14829,August,63448514.73935656,26.91908305675318
C14829,July_1,34159652.33638144,26.025789956057213
C14829,July_2,33332434.14168709,25.99042334007295
C14829,July_3,48862450.04907988,26.54222286889404
C14829,June,27820317.256398622,25.729635536342702
C14829,May,10124909.403631955,24.271405663219603
C14829,October,22134536.72974513,25.399795842721023
C14829,September,16226906.556030527,24.951884659683195
C16223,August,18569749.523574483,25.146451019951535
C16223,July_1,15454473.341998884,24.881521155040954
C16223,July_2,15065270.602259245,24.844723251052397
C16223,July_3,20483367.529080283,25.287949582582705
C16223,June,16061714.399606945,24.93712255605839
C16223,May,16316552.035460608,24.959832887765515
C16223,October,15900760.616111584,24.92259244298193
C16223,September,23610759.719058614,25.492941127857065
C18218,August,49778524.609390475,26.56902013498329
C18218,July_1,47604563.71031792,26.50459655132957
C18218,July_2,49490209.81661073,26.560639822818597
C18218,July_3,45618272.49934546,26.443108479037473
C18218,June,50984375.23090827,26.603551847950005
C18218,May,47182012.68851971,26.491733626532287
C18218,October,47213251.85380505,26.492688517451924
C18218,September,38057581.08550909,26.1816805320021
C18541,August,19260591.983062107,25.19914870996316
C18541,July_1,19635298.73058402,25.22694621148265
C18541,July_2,19469104.240012884,25.214683172398153
C18541,July_3,23379061.106032215,25.478713657174787
C18541,June,18596192.08607001,25.148503897320726
C18541,May,18375574.04252711,25.131285983840606
C18541,October,24671589.782341316,25.556347346902754
C18541,September,21958327.342676193,25.388264826645127
C19615,August,57037125.13187489,26.765397931012426
C19615,July_1,40461003.17626629,26.2700287542383
C19615,July_2,42517575.5086411,26.341555996231392
