Reaction,Pathways,n_reaction
1.2.1.2-RXN,PWY-7985,3
1.2.1.2-RXN,PWY-5497,15
RXN66-534,PWY66-426,5
RXN-19038,PWY66-426,5
RXN-19038,PWY-8359,1
RXN66-562,PWY66-426,5
CYSTATHIONINE-BETA-SYNTHASE-RXN,PWY-6293,5
CYSTATHIONINE-BETA-SYNTHASE-RXN,PWY-801,3
CYSTATHIONINE-BETA-SYNTHASE-RXN,PWY-821,9
CYSTATHIONINE-BETA-SYNTHASE-RXN,PWY-5328,11
CYSTATHIONINE-BETA-SYNTHASE-RXN,PWY-6292,3
CYSTATHIONINE-BETA-SYNTHASE-RXN,HOMOCYSDEGR-PWY,2
O-SUCCHOMOSERLYASE-RXN,PWY-5347,8
O-SUCCHOMOSERLYASE-RXN,PWY-6293,5
O-SUCCHOMOSERLYASE-RXN,PWY0-781,24
O-SUCCHOMOSERLYASE-RXN,MET-SAM-PWY,8
O-SUCCHOMOSERLYASE-RXN,PWY-801,3
O-SUCCHOMOSERLYASE-RXN,PWY-821,9
O-SUCCHOMOSERLYASE-RXN,P4-PWY,17
O-SUCCHOMOSERLYASE-RXN,HOMOSER-METSYN-PWY,4
RXN0-5183,GLYCOCAT-PWY,8
RXN-15910,PWY-842,1
RXN-16117,PWY-6453,3
RXN-20564,PWY-8055,5
RXN-1381,PHOSLIPSYN2-PWY,18
RXN-1381,PHOSLIPSYN-PWY,12
RXN-1381,PWY4FS-8,6
RXN-1381,PWY-5667,4
RXN-1381,TRIGLSYN-PWY,4
RXN-15045,PWY-7411,3
RXN-16024,PWY-7596,4
RXN-16024,PWY-7587,2
RXN-10462,PHOSLIPSYN2-PWY,18
RXN-10462,PWY0-1319,4
RXN-10462,PWY-8401,11
RXN-10462,PHOSLIPSYN-PWY,12
RXN-10462,PWY4FS-7,6
RXN-20513,PWY-8053,7
RXN-20513,PWY-8051,11
PABASYN-RXN,ALL-CHORISMATE-PWY,48
PABASYN-RXN,PWY-7575,4
PABASYN-RXN,PWY-6612,9
PABASYN-RXN,FOLSYN-PWY,11
PABASYN-RXN,PWY-6543,2
PABASYN-RXN,PWY-8032,1
ADCLY-RXN,ALL-CHORISMATE-PWY,48
ADCLY-RXN,PWY-7575,4
ADCLY-RXN,PWY-6612,9
ADCLY-RXN,FOLSYN-PWY,11
ADCLY-RXN,PWY-8276,1
ADCLY-RXN,PWY-6543,2
23-DIMETHYLMALATE-LYASE-RXN,PWY-5055,7
23-DIMETHYLMALATE-LYASE-RXN,PWY-5062,13
RXN-12184,PWY-6733,12
RXN-9623,PWY-8279,28
RXN-9623,PWY-5156,40
RXN-9623,PWY3DJ-11470,6
RXN-9623,PWY-7119,10
RXN-9623,PWY-5972,3
RXN-9623,PWY-6285,50
RXN-9623,PWY-5971,30
RXN-21443,PWY-5710,2
RXN-13614,PWY-7094,5
RXN66-477,PWY66-388,3
RXN-16393,PWY-5156,40
RXN-16393,PWY-6285,50
RXN-16393,PWY-5971,30
RXN-19751,PWY3DJ-11470,6
RXN-16389,PWY-1121,8
RXN-16389,PWY-6733,12
RXN-16389,PWY-321,3
RXN-9673,PWY-7592,2
RXN-9673,PWY-6000,2
LINOLENOYL-RXN,PWY-7724,1
LINOLENOYL-RXN,PWY-7049,2
R223-RXN,PWY-6920,4
R223-RXN,P221-PWY,4
RXN-9644,PWY-5156,40
RXN-9644,PWY-5147,2
RXN-9644,PWY0-1337,29
RXN-9644,PWY-6001,1
RXN-16402,PWY-6733,12
RXN66-469,PWY66-387,3
RXN-16401,PWY-6733,12
RXN66-480,PWY66-389,4
RXN-16380,PWY-5156,40
RXN-16380,PWY-8280,5
RXN-16380,PWY-5989,5
RXN66-483,PWY66-387,3
RXN-7904,PWY-5143,1
RXN-7904,PWY-6873,3
RXN-7904,PWY-7033,1
RXN-7904,PWY-6803,3
RXN-20651,PWY-7119,10
RXN-16418,PWY-1121,8
RXN-17738,PWY-7783,6
RXN-17737,PWY-7783,6
RXN-20534,PWY-8052,2
RXN-17734,PWY-7782,8
PHOSPHOLIPASE-C-RXN,LIPASYN-PWY,4
RXN-15635,PWY-6654,4
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN,PWY-4221,12
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN,PANTOSYN-PWY,9
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN,PANTO-PWY,4
PANTOATE-BETA-ALANINE-LIG-RXN,PWY-4221,12
PANTOATE-BETA-ALANINE-LIG-RXN,PANTOSYN-PWY,9
PANTOATE-BETA-ALANINE-LIG-RXN,PANTO-PWY,4
RXN-14429,PWY-7255,4
5.5.1.2-RXN,PWY-5431,9
